Клеймо за време;Факултетен номер;Номер на въпроса;Цел на въпроса;Тип на въпроса;Въпрос;Опция 1;Опция 2;Опция 3;Опция 4;Верен отговор;Ниво на трудност;Обратна връзка при верен отговор;Обратна връзка при грешен отговор;Забележка
2023/04/16 4:56:56 сл.об. Гринуич+3;62547;11;Познаване как се създава flex контейнер;3;Как се създава flex-контейнер, т.е. динамичен контейнер, който има адаптивно съдържание. ;display: flex за родителския контейнер;flex: true;display: flex за всеки елемент на съдържанието поотделно;flex: true за всеки елемент на съдържанието поотделно;1;1;Правилно! ;Грешка. Един контейнер се прави flexible, т.е. адаптивен/динамичен чрез display: flex. ;Може би това трябваше да бъде въпрос 2, но се сетих за него впоследствие.
2023/04/19 11:24:05 сл.об. Гринуич+3;62537;1;"Установяване познаване на базова история на ""езика за маркиране на текст"" - HTML";1;Коя е последната версия на HTML?;HTML3;HTML4;HTML5;HTML6;3;1;Верен отговор. За повече информация относно нововъведенията в HTML5 може да прочетете в първата и втората секция от реферата.;Грешен отговор. За повече информация относно историята и нововъведенията в HTML5 може да прочетете в първата и втората секция от реферата. ;Повече графична информация може да се намери в изображението, вмъкнато в заключението на реферата.
2023/04/19 11:26:36 сл.об. Гринуич+3;62537;2;Установяване познаването на нововъведенията в HTML5;3;Кой от изброените тагове НЕ е нововъведение в HTML5?;<video>;<h4>;<canvas>;<audio>;2;2;Верен отговор. За повече информация относно нововъведенията в HTML5 може да прочетете във втората секция от реферата.;Грешен отговор. За повече информация относно нововъведенията в HTML5 може да прочетете във втората секция от реферата.;Повече информация по този въпрос може да бъде намерена в следния цитиран източник в реферата: Pilgrim, Mark. HTML5: Up and Running. 1st ed. O?Reilly, 2010. ISBN 978-0-596-80602-6 [http://diveintohtml5.info/index.html].
2023/04/19 11:29:05 сл.об. Гринуич+3;62537;3;Познаване на технологията за създаване на страници в Уеб;1;Кой от изброените езици служи за създаване на уебстраници?;CSS;HTML;Java;C++;2;1;Верен отговор. HTML е езикът за създаване на уебстраници и целият реферат се отнася за последната му версия ? HTML5.;Грешен отговор. HTML е езикът за създаване на уебстраници и целият реферат се отнася за последната му версия ? HTML5.;Въпросът е за предварителни знания с ниво на трудност 1, тъй като това се очаква да се знае най-малкото от обща култура.
2023/04/19 11:31:11 сл.об. Гринуич+3;62537;4;Познаване на историята на HTML;3;През коя година е представен за първи път HTLM5?;2007 г.;2008 г.;2013 г.;2014 г.;2;5;Верен отговор. Повече информация за езика и за представянето му може да бъде прочетена в увода на реферата.;Грешен отговор. Повече информация за езика и за представянето му може да бъде прочетена в увода на реферата.;Въпросът е с ниво на трудност 5, тъй като исторически детайли като дати не се запомнят винаги лесно.
2023/04/19 11:33:55 сл.об. Гринуич+3;62537;5;Проверка дали студентите знаят за началната DOCTYPE декларация във всеки HTML документ;3;Задължителна ли е <!DOCTYPE> декларацията в началото на HTML документ?;Да, винаги е задължителна;Да, задължителна е, но в някои случаи може и да се пропусне;Не, не е задължителна, защото браузърът я подразбира;Не, не е задължителна и е остаряла практика да се пише;1;4;"Верен отговор. Повече информация за декларацията и за това как може да я съкратите може да прочетете в секцията ""Семантичен HTML"" в реферата.";"Грешен отговор. Повече информация за декларацията и за това как може да я използвате може да прочетете в секцията ""Семантичен HTML"" в реферата.";Въпросът е с ниво на трудност 4, тъй като е подвеждащ, ако не е било изрично прочетено преди това.
2023/04/19 11:37:26 сл.об. Гринуич+3;62537;6;Проверка дали четящите са прочели за тага <header>, както и за тага <hgroup>;3;Може ли в <header> елемент на уебстраница да присъстват повече от два вида заглавия (h1-h6)?;Да, в този случай е добре да са разположени в <hgroup>;Да, но трябва да се уверим, че не се намират в <hgroup>;Не, уебстраницата ще визуализира второто заглавие с размера на първото ;Не, уебстраницата няма да се визуализира, ако има повече от едно заглавие в заглавната секция;1;3;Верен отговор. Повече информация за таговете <header> и <hgroup> може да намерите в реферата в Таблица 4: Дефиниция на някои семантични елементи в HTML5.;Грешен отговор. Повече информация за таговете <header> и <hgroup> може да намерите в реферата в Таблица 4: Дефиниция на някои семантични елементи в HTML5.;Въпросът е с ниво на трудност 3, тъй като изисква познаване на семантичен таг, за който не се споменава често, когато се говори за семантичен HTML.
2023/04/19 11:40:09 сл.об. Гринуич+3;62537;7;Четящите да са се запознали с всички типове input-и в HTML5;3;Кой от следните типове (type) на елемента <input> в контекста на HTML5 форми НЕ съществува?;url;revert;month;hidden;2;4;Верен отговор. Повече информация за видовете input types може да намерите в реферата в Таблица 7: Описание и визуализация на типове на <input>.;Грешен отговор. Повече информация за видовете input types може да намерите в реферата в Таблица 7: Описание и визуализация на типове на <input>.;Въпросът е с ниво на трудност 4, тъй като изисква детайлно познаване на всички видове input types.
2023/04/19 11:44:07 сл.об. Гринуич+3;62537;8;Четящите да са се запознали с особеностите на HTML тага <textarea>;3;Какво НЕ е характерно за HTML тага <textarea>?;По подразбиране, текстът в него е с фиксирана ширина;Има начин, по който можем да забраним писането на текст от потребителя в елемента;Има ограничение в броя символи в зависимост от настройките на браузъра;Текстът в елемента се визуализира точно по начина, по който е поставен в HTML сорс кода;3;3;"Верен отговор. Повече информация за начините на създаване на форми може да разгледате в секцията за ""Форми в HTML5"" от реферата. ";"Грешен отговор. Повече информация за начините на създаване на форми може да разгледате в секцията за ""Форми в HTML5"" от реферата.";Въпросът е с ниво на трудност 3, тъй като някои отговори може да са подвеждащи.
2023/04/19 11:46:49 сл.об. Гринуич+3;62537;9;Четящите да минат набързо през всички основни тагове за форми в HTML5 още по време на презентацията;2;Кой от следните тагове за форми НЕ съществува в HTML5?;<datalist>;<fieldset>;<button>;<radio>;4;2;"Верен отговор. Повече информация за начините за създаване на форми може да разгледате в секцията за ""Форми в HTML5"" от реферата. ";"Грешен отговор. Повече информация за начините за създаване на форми може да разгледате в секцията за ""Форми в HTML5"" от реферата.";Въпросът е с ниво на трудност 2, тъй като не е сложен от една страна, но изисква преглеждане на повечето текст на реферата.
2023/04/19 11:54:08 сл.об. Гринуич+3;62537;10;Четящите да разпознават като наименования специфичните булеви атрибути;3;Кой от следните атрибути в HTML НЕ е булев?;marked;autofocus;selected;novalidate;1;5;"Верен отговор. Повече информация за булевите атрибути може да намерите в секцията за ""Форми в HTML5"" от реферата.";"Грешен отговор. Повече информация за булевите атрибути може да намерите в секцията за ""Форми в HTML5"" от реферата.";Въпросът е с ниво на трудност 5, тъй като булевите атрибути са специфични за всеки елемент и можа да представлява трудност да се запомнят наименованията им.
